architecture,alpha,train_seed,neighbor_mode,update,mean_success,mean_completion,mean_steps,mean_return,policy_loss,value_loss,entropy
shared,0.5,0,visible,1,0.5,0.875,72.75,14.010000000000081,-0.006542900914194328,0.24981697050008028,1.6013511311036885
shared,0.5,0,visible,2,0.5,0.8333333333333333,87.5,12.250000000000107,-0.004129268102459166,0.1362004197942161,1.6007717459862987
shared,0.5,0,visible,3,0.5,0.9166666666666667,77.75,14.585000000000068,-0.0037680761232734565,0.23891310799980417,1.5982923975605934
shared,0.5,0,visible,4,0.5,0.875,76.0,13.815000000000042,-0.003242847952477811,0.22065220332962815,1.5920115441000755
shared,0.5,0,visible,5,0.0,0.7916666666666667,100.0,10.625000000000112,-0.00382800402790236,0.19897651816465087,1.5931224814654434
shared,0.5,0,visible,6,0.5,0.7916666666666666,77.0,12.005000000000077,-0.003673401651312416,0.1961768400969882,1.5933920010567557
shared,0.5,0,visible,7,0.75,0.9583333333333334,75.25,15.610000000000037,-0.003197713078870917,0.24011045880491708,1.5952978601883774
shared,0.5,0,visible,8,0.5,0.875,66.25,14.400000000000079,-0.004109145840369854,0.15724454655865655,1.5962651820728617
shared,0.5,0,visible,9,0.75,0.9583333333333334,79.25,15.370000000000084,-0.0024929442589518755,0.17421178513677202,1.5947233385614932
shared,0.5,0,visible,10,0.25,0.8333333333333334,87.25,12.265000000000104,-0.0035049034762347146,0.15296368166465732,1.591401296647
shared,0.5,0,visible,11,0.5,0.875,81.75,13.470000000000095,-0.0032724677134009796,0.14009348806050614,1.5878213545182949
shared,0.5,0,visible,12,0.25,0.8333333333333334,80.75,12.655000000000097,-0.0027200812949729923,0.19384949106063534,1.5865960061257687
shared,0.5,0,visible,13,0.5,0.9166666666666667,77.5,14.600000000000072,-0.005437166401434571,0.16179755533837686,1.5864850920062892
shared,0.5,0,visible,14,0.5,0.9166666666666667,59.75,15.66500000000001,-0.005494285719142182,0.2648703615648063,1.5807700568983034
shared,0.5,0,visible,15,0.5,0.8333333333333334,64.25,13.645000000000053,-0.0045081653362241386,0.25078144599093644,1.5714914003077605
shared,0.5,0,visible,16,0.75,0.9583333333333334,63.5,16.31500000000005,-0.0049721469291161445,0.15311372318349867,1.5663194842890074
shared,0.5,0,visible,17,1.0,1.0,56.5,17.610000000000035,-0.004722429095578302,0.25724880406788214,1.5571862970301211
shared,0.5,0,visible,18,0.5,0.9166666666666667,76.0,14.690000000000053,-0.005599011635460376,0.23168724713742025,1.556732451496397
shared,0.5,0,visible,19,1.0,1.0,58.75,17.475000000000065,-0.008880752361749317,0.24106854189101598,1.5205249848651925
shared,0.5,0,visible,20,0.75,0.9583333333333334,56.5,16.734999999999992,-0.0019472492647387963,0.23405832106810293,1.5465329326862114
shared,0.5,0,visible,21,0.75,0.9583333333333334,73.5,15.715000000000055,-0.005159648522650745,0.16243986035966984,1.5513297417096772
shared,0.5,0,visible,22,1.0,1.0,36.75,18.794999999999973,-0.006515648378028738,0.26533416055615133,1.5403450220626316
shared,0.5,0,visible,23,1.0,1.0,44.0,18.35999999999999,-0.0054849791865494634,0.1768827202954084,1.5487289763761327
shared,0.5,0,visible,24,0.75,0.9583333333333334,54.0,16.88500000000003,-0.005598277702551745,0.23698603370847646,1.5335301129740657
shared,0.5,0,visible,25,0.75,0.9166666666666666,51.5,16.160000000000032,-0.01203387975601289,0.20627445551554602,1.5432452757411501
shared,0.5,0,visible,26,1.0,1.0,27.75,19.335000000000004,-0.011164387717453064,0.2777960430447,1.543841327610777
shared,0.5,0,visible,27,1.0,1.0,36.5,18.809999999999988,-0.006301279721711304,0.20130106828009575,1.5451732936221239
shared,0.5,0,visible,28,0.75,0.9583333333333334,42.25,17.590000000000025,-0.007494551803709432,0.33042044433667944,1.5250076290738654
shared,0.5,0,visible,29,1.0,1.0,41.75,18.49500000000003,-0.0057286475012503215,0.3047935164014778,1.507060411744277
shared,0.5,0,visible,30,1.0,1.0,23.5,19.589999999999975,-0.013320831780677129,0.5364104060586906,1.4865755453599558
shared,0.5,1,visible,1,0.5,0.8333333333333333,93.5,11.890000000000102,-0.0077406479315134235,0.16355844805726585,1.6015767833903056
shared,0.5,1,visible,2,0.25,0.8750000000000001,87.75,13.11000000000011,-0.005535288382311073,0.12756794572831856,1.5995755292146099
shared,0.5,1,visible,3,0.75,0.9166666666666666,85.5,14.120000000000093,-0.003781784342224839,0.20135847390690328,1.598604677604453
