architecture,alpha,train_seed,evaluation_seed,neighbor_mode,success,steps,completion_rate,total_distance,coordination_efficiency,attempted_collisions,collision_rate,action_entropy,spatial_order,mean_interagent_distance,role_differentiation,team_return
independent,0.0,1,103,visible,0,100,0.8333333333333334,134,0.0,94,0.15666666666666668,1.5960228890644637,0.9360385775652549,7.130669168093654,0.9343345879886363,-1.0
independent,0.0,1,104,visible,1,14,1.0,56,0.017857142857142856,2,0.023809523809523808,1.984943954547664,0.405101013584567,6.39477432441136,0.38465462908103587,5.160000000000002
independent,0.0,2,100,visible,0,100,0.8333333333333334,257,0.0,1,0.0016666666666666668,1.7840540843854127,0.17607061540476632,6.365843950981907,0.7837364231872941,-1.0
independent,0.0,2,101,visible,1,7,1.0,42,0.023809523809523808,0,0.0,1.9845306223341312,0.436077621553603,4.660434100495761,0.5773502691896257,5.58
independent,0.0,2,102,visible,1,7,1.0,41,0.024390243902439025,0,0.0,1.9917959043140323,0.40606934439549974,4.120862342231566,0.5067407432485083,5.58
independent,0.0,2,103,visible,0,100,0.5,466,0.0,0,0.0,1.979680141328657,0.2495433004607941,6.061964516686957,0.6165750875083669,-3.000000000000004
independent,0.0,2,104,visible,0,100,0.8333333333333334,175,0.0,2,0.0033333333333333335,1.9745686375337184,0.8049817084841435,6.34078311647577,0.6632554703355571,-1.0000000000000016
independent,0.25,0,100,visible,0,100,0.8333333333333334,224,0.0,3,0.005,2.223244738328069,0.6904602002690737,6.062613818554882,0.8653598761620545,5.249999999999993
independent,0.25,0,101,visible,0,100,0.5,127,0.0,0,0.0,1.6261360490518886,0.9542794614392048,5.672557386917588,1.5159773131611596,0.7500000000000138
independent,0.25,0,102,visible,0,100,0.3333333333333333,318,0.0,2,0.0033333333333333335,2.159785229152727,0.5460121934713821,3.98640990606257,1.1690938625467813,-1.5000000000000033
independent,0.25,0,103,visible,1,12,1.0,51,0.0196078431372549,0,0.0,1.9913169690907975,0.4703088588598863,6.335935275213845,0.5885752129345776,12.779999999999996
independent,0.25,0,104,visible,0,100,0.6666666666666666,165,0.0,38,0.06333333333333334,2.1090678888934673,0.8790703869498496,5.794936984056753,0.7384601140225446,3.000000000000028
independent,0.25,1,100,visible,0,100,0.6666666666666666,393,0.0,4,0.006666666666666667,1.7463456881354948,0.39368092528326365,6.080225276580404,0.6965486824873951,3.000000000000019
independent,0.25,1,101,visible,1,15,1.0,70,0.014285714285714285,2,0.022222222222222223,1.8501533936934882,0.2986985973367203,4.969555141883978,0.6099436449377926,12.600000000000001
independent,0.25,1,102,visible,0,100,0.6666666666666666,322,0.0,2,0.0033333333333333335,1.9751356281069643,0.37592887657878593,5.369597056331197,0.7216159526412438,3.000000000000019
independent,0.25,1,103,visible,0,100,0.6666666666666666,233,0.0,5,0.008333333333333333,1.5903256067620921,0.6922830941243836,6.28641099756702,0.7646015300805981,3.000000000000019
independent,0.25,1,104,visible,1,10,1.0,39,0.02564102564102564,0,0.0,1.8463998941285953,0.2574540433946446,6.226247770421969,0.4651951086735133,12.899999999999997
independent,0.25,2,100,visible,0,100,0.8333333333333334,253,0.0,2,0.0033333333333333335,1.9565248331546774,0.6321940019387369,6.110039781988883,0.7166318105357041,5.250000000000002
independent,0.25,2,101,visible,0,100,0.8333333333333334,299,0.0,0,0.0,1.9615153233604223,0.38537588871574274,6.3182628381414,0.9828615181440346,5.249999999999991
independent,0.25,2,102,visible,0,100,0.6666666666666666,400,0.0,3,0.005,1.9593241168343627,0.25081368139917753,5.882413297727201,0.5417621710677113,3.000000000000019
independent,0.25,2,103,visible,0,100,0.8333333333333334,219,0.0,0,0.0,1.9999839699363586,0.6829062641585764,6.397510891886945,0.5817837581442452,5.249999999999995
independent,0.25,2,104,visible,0,100,0.8333333333333334,331,0.0,2,0.0033333333333333335,1.9960791195783654,0.34494158803143504,5.630934020095591,0.5262798334965744,5.249999999999993
independent,0.5,0,100,visible,0,100,0.5,131,0.0,0,0.0,1.7623086027918777,0.9703758259146812,5.022653689776755,1.2807148737421081,4.500000000000006
independent,0.5,0,101,visible,0,100,0.16666666666666666,309,0.0,0,0.0,1.7277473144545588,0.3481800470956737,4.927723223559275,1.0706506268940832,-2.5000000000000036
independent,0.5,0,102,visible,0,100,0.0,218,0.0,4,0.006666666666666667,2.049918733166541,0.6900321607655445,4.960852628777794,1.2404334708845124,-5.99999999999999
independent,0.5,0,103,visible,0,100,0.3333333333333333,230,0.0,0,0.0,1.9391639701692864,0.9397571663704685,6.5818001754406446,0.9878658074021434,1.0000000000000133
independent,0.5,0,104,visible,0,100,0.6666666666666666,239,0.0,2,0.0033333333333333335,1.7369095995720933,0.6623101457872036,5.788988828967656,0.5379860396496899,7.999999999999955
independent,0.5,1,100,visible,0,100,0.6666666666666666,229,0.0,0,0.0,1.7608202651718066,0.8718610656173462,6.329378729137126,0.8170788613661302,7.999999999999958
